filter,method,param,seed,rmse_twin,sync_count,mean_aoi
good,event,0.5,1,0.2887977052395548,23,24.81875
good,event,0.5,2,0.27160571459181426,18,25.72125
good,event,0.5,3,0.2709039559053395,18,27.71375
good,event,0.5,4,0.2561942399482591,18,24.49
good,event,0.5,5,0.2832210916302238,17,28.73125
good,event,0.5,6,0.2599066128584089,19,23.56125
good,event,0.5,7,0.2775926656768945,23,21.8375
good,event,0.5,8,0.2602183538987725,18,24.92375
good,event,0.5,9,0.2751157847353745,23,24.1875
good,event,0.5,10,0.2576537712471527,19,23.8425
good,event,0.5,11,0.26430408332078653,16,29.86375
good,event,0.5,12,6.536270908104478,24,34.70125
good,event,0.5,13,0.2545793980491099,18,24.9325
good,event,0.5,14,0.26867651314335483,19,23.26375
good,event,0.75,0,0.6365611003863556,16,30.165
good,event,0.75,1,0.39657819723819787,18,32.14375
good,event,0.75,2,0.3736820025026462,15,30.005
good,event,0.75,3,0.38510758106206544,13,39.62
good,event,0.75,4,0.3946673878848105,13,38.83
good,event,0.75,5,0.3878938414068767,13,36.15125
good,event,0.75,6,0.3798873526299012,14,31.1175
good,event,0.75,7,0.38565669697435173,17,30.7675
good,event,0.75,8,0.37794715750523256,15,29.8125
good,event,0.75,9,0.3987258561904573,18,30.69125
good,event,0.75,10,0.36303076874845597,14,31.67875
good,event,0.75,11,0.38355423548591916,15,29.55125
good,event,0.75,12,6.558185834829737,19,45.32
good,event,0.75,13,0.3625790103776153,15,30.47875
good,event,0.75,14,0.39742139955930145,13,40.2575
good,event,1.0,0,0.7225357982022489,13,51.72875
good,event,1.0,1,0.5004031418694983,15,39.3725
good,event,1.0,2,0.5036234873478798,12,35.6175
good,event,1.0,3,0.4905802600732546,12,39.79125
good,event,1.0,4,0.4925754314703534,12,38.11125
good,event,1.0,5,0.48946665499772574,11,43.1425
good,event,1.0,6,0.5499715294122418,10,53.16
good,event,1.0,7,0.514604027449683,15,36.855
good,event,1.0,8,0.5090711911848247,13,36.61125
good,event,1.0,9,0.47667995291020077,14,40.26
good,event,1.0,10,0.49231307459566126,11,43.59875
good,event,1.0,11,0.4776221073819569,12,40.19625
good,event,1.0,12,6.586248353011832,17,40.91625
good,event,1.0,13,0.4980227422479994,13,34.11875
good,event,1.0,14,0.47617854241409624,11,43.62875
good,event,1.5,0,0.9256147663241051,11,45.51
good,event,1.5,1,0.7132201764340406,13,45.415
good,event,1.5,2,0.6767098503724708,9,51.95375
good,event,1.5,3,0.7026826613004322,10,48.1525
good,event,1.5,4,0.7047797218310232,9,51.7425
good,event,1.5,5,0.7375860006822365,9,49.69625
good,event,1.5,6,0.7147721705659488,8,68.4225
good,event,1.5,7,0.713059483939759,10,46.57875
good,event,1.5,8,0.6875418710198599,9,51.08875
good,event,1.5,9,0.721598141787752,13,49.43125
good,event,1.5,10,0.6952890422619357,10,47.88625
good,event,1.5,11,0.6955225830233116,10,49.57125
good,event,1.5,12,6.646985581500363,13,63.41
good,event,1.5,13,0.7047231453470754,10,45.92125
good,event,1.5,14,0.7090664653416843,10,46.605
good,event,2.0,0,1.216263613148158,8,72.58625
good,event,2.0,1,1.0143803900169046,12,50.95375
good,event,2.0,2,0.8786175551391504,7,68.44125
good,event,2.0,3,1.0732853510596125,9,54.84125
good,event,2.0,4,0.9367458734696115,7,71.73125
good,event,2.0,5,0.9604714588962167,8,60.12375
good,event,2.0,6,0.8967625345063466,8,64.3425
good,event,2.0,7,0.9725967490927481,9,48.95375
good,event,2.0,8,0.885160267831141,8,65.84875
good,event,2.0,9,1.0114069541899868,9,53.3275
good,event,2.0,10,0.9348092524159209,7,71.69375
good,event,2.0,11,0.9340291359660586,7,75.0775
good,event,2.0,12,6.687358065032641,12,53.215
good,event,2.0,13,0.9290896198627748,8,62.63875
good,event,2.0,14,1.0102061704151173,7,77.83375
good,unconditional,0.0,0,0.48829951889323275,800,0.0
good,unconditional,0.0,1,0.1192608203314759,800,0.0
good,unconditional,0.0,2,0.061221287384360154,800,0.0
good,unconditional,0.0,3,0.05925059002097627,800,0.0
good,unconditional,0.0,4,0.05773467263167761,800,0.0
good,unconditional,0.0,5,0.06043976236596258,800,0.0
good,unconditional,0.0,6,0.06110759692444842,800,0.0
good,unconditional,0.0,7,0.08639959687384322,800,0.0
good,unconditional,0.0,8,0.061135102565176756,800,0.0
good,unconditional,0.0,9,0.10616136266919804,800,0.0
good,unconditional,0.0,10,0.061183550001759686,800,0.0
good,unconditional,0.0,11,0.06038715161429873,800,0.0
good,unconditional,0.0,12,6.497031118646491,800,0.0
good,unconditional,0.0,13,0.05838920707404928,800,0.0
good,unconditional,0.0,14,0.06355525768441624,800,0.0
